match_id,date,league,home_recent_wins,home_recent_draws,home_recent_losses,home_recent_goals_for,home_recent_goals_against,home_recent_form_points,away_recent_wins,away_recent_draws,away_recent_losses,away_recent_goals_for,away_recent_goals_against,away_recent_form_points,h2h_home_wins,h2h_draws,h2h_away_wins,home_avg_goals,home_total_matches,away_avg_goals,away_total_matches,total_goals,over_2_5,btts,home_win,draw,away_win,home_scoring_trend,away_scoring_trend,form_difference,home_form_normalized,away_form_normalized,h2h_home_dominance,h2h_away_dominance,h2h_balance,home_defensive_rating,away_defensive_rating,expected_goals_combined
113,2020-12-13,PL,3,1,1,11,8,10,0,0,5,2,9,0,0,0,0,0.0,0,0.0,0,3,1,0,1,0,0,0.0,0.0,10,0.6666666666666666,0.0,0.0,0.0,0.0,1.6,1.8,1.7000000000000002
114,2020-12-13,PL,2,0,3,9,7,6,4,1,0,7,1,13,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,-7,0.4,0.8666666666666667,0.0,0.0,0.0,1.4,0.2,0.7999999999999999
115,2020-12-13,PL,2,0,3,6,7,6,3,2,0,11,3,11,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,-5,0.4,0.7333333333333333,0.0,0.0,0.0,1.4,0.6,1.0
116,2020-12-13,PL,1,1,3,2,7,4,1,2,2,2,9,5,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1,0.0,0.0,-1,0.26666666666666666,0.3333333333333333,0.0,0.0,0.0,1.4,1.8,1.6
117,2020-12-13,PL,3,0,2,8,7,9,1,2,2,5,6,5,0,0,0,0.0,0,0.0,0,3,1,0,1,0,0,0.0,0.0,4,0.6,0.3333333333333333,0.0,0.0,0.0,1.4,1.2,1.2999999999999998
2019,2020-12-13,PD,3,2,0,8,2,11,1,3,1,3,3,6,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,5,0.7333333333333333,0.4,0.0,0.0,0.0,0.4,0.6,0.5
2020,2020-12-13,PD,2,0,3,7,12,6,2,3,0,7,3,9,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,-3,0.4,0.6,0.0,0.0,0.0,2.4,0.6,1.5
2021,2020-12-13,PD,0,4,1,4,6,4,0,2,3,6,12,2,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1,0.0,0.0,2,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,1.2,2.4,1.7999999999999998
2022,2020-12-13,PD,2,1,2,11,6,7,1,4,0,7,4,7,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,0.0,0.0,0,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,1.2,0.8,1.0
3898,2020-12-13,BL1,1,2,2,6,9,5,0,2,3,4,12,2,0,0,0,0.0,0,0.0,0,4,1,1,0,1,0,0.0,0.0,3,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,1.8,2.4,2.1
3899,2020-12-13,BL1,4,1,0,13,6,13,1,2,2,9,10,5,0,0,0,0.0,0,0.0,0,5,1,1,1,0,0,0.0,0.0,8,0.8666666666666667,0.3333333333333333,0.0,0.0,0.0,1.2,2.0,1.6
2023,2020-12-14,PD,2,1,2,9,10,7,2,1,2,5,7,7,0,0,0,0.0,0,0.0,0,4,1,0,1,0,0,0.0,0.0,0,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,2.0,1.4,1.7
