match_id,date,surface,tourney_name,tourney_level,player1_rank,player2_rank,rank_difference,player1_recent_wins,player1_recent_losses,player1_form_points,player2_recent_wins,player2_recent_losses,player2_form_points,form_difference,h2h_player1_wins,h2h_player2_wins,h2h_total,player1_surface_wins,player1_surface_total,player1_surface_winrate,player2_surface_wins,player2_surface_total,player2_surface_winrate,surface_winrate_diff,is_hard,is_clay,is_grass,is_grand_slam,is_masters,player1_win
94,2020-01-06,Hard,Atp Cup,A,816.0,52.0,764.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
95,2020-01-06,Hard,Atp Cup,A,46.0,42.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
96,2020-01-06,Hard,Atp Cup,A,52.0,417.0,-365.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
97,2020-01-06,Hard,Atp Cup,A,42.0,20.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
98,2020-01-06,Hard,Atp Cup,A,200.0,816.0,-616.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
99,2020-01-06,Hard,Atp Cup,A,5.0,53.0,-48.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
100,2020-01-06,Hard,Atp Cup,A,200.0,417.0,-217.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
101,2020-01-06,Hard,Atp Cup,A,46.0,11.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
102,2020-01-06,Hard,Atp Cup,A,10.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
103,2020-01-06,Hard,Atp Cup,A,26.0,72.0,-46.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
104,2020-01-06,Hard,Atp Cup,A,119.0,678.0,-559.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
